booth_id,booth_name,address,city,country,latitude,longitude,severity,problem_categories
"2a353c51-c0d1-4da5-991b-425ba412ee1f","Lougheed Town Centre","9855 Austin Rd","Burnaby","United States",,,"CRITICAL","MISSING_COORDINATES"
"a52e4690-3945-42ff-8083-34e96a0ef8f5","Lenin's Quay","[NO ADDRESS]","Alushta","United States",,,"CRITICAL","MISSING_ADDRESS; MISSING_COORDINATES"
"425faf50-d5df-4c38-9694-c7c9d4a5dbed","Hidropark Metro Station","[NO ADDRESS]","Kiev","United States",,,"CRITICAL","MISSING_ADDRESS; MISSING_COORDINATES"
"cb2b406d-9963-4c32-9003-d9b4c932b65f","Globus","[NO ADDRESS]","Kiev","United States",,,"CRITICAL","MISSING_ADDRESS; MISSING_COORDINATES"
"c340644b-b25d-439f-9e1f-39b92ccde8ec","Primorsky Park","[NO ADDRESS]","Odessa","United States",,,"CRITICAL","MISSING_ADDRESS; MISSING_COORDINATES"
"7a6bb6df-3b41-42ee-92c6-9fc59f6bc276","Rosemont Metro","420 Boulevard Rosemont","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"b82f6a20-9fa4-43fd-8a49-20431335c00f","Edmonton City Centre","803-10088 102 Avenue NW","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"3f406edf-9040-42ce-bd27-351962c5664f","Bonnie Doon Shopping Centre","5 Bonnie Doon Shopping Centre","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"b3f76496-730a-4fc8-a4b6-67fc22a4ee83","Deerfoot Mall","901 64 Avenue NE","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"c6837627-cba5-45ae-a9f3-36ff14893fb0","Chinook Centre","210-6455 MacLeod Trail SW","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"a7fb1f97-2159-4a1c-98c3-f2aa89d6df35","Calgary Greyhound Station","850 - 16th St.","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"26cee270-6d8b-440e-83bb-664841a3ef78","Eau Claire Market","229-200 Barclay Parade SW","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"53ec3e9a-1413-4393-bd19-861fa611ac80","North Hill Centre","1632  14 Avenue NW","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"f287be1d-a2cb-4186-87b8-01c451c871d6","Northland Village Mall I","5111 Northland Drive NW","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"9a7d5a85-b09b-4853-b1e4-f6780bdec09a","Northland Village Mall II","5111 Northland Dr NW","Calgary","United States",,,"CRITICAL","MISSING_COORDINATES"
"37103a36-9465-42be-aef8-19cfbcb44465","Broadway Shopping Centre II","3/1 Bay St.","Glebe","United States",,,"CRITICAL","MISSING_COORDINATES"
"0bed9017-f2b3-4a22-bd9d-740835543b00","Mill Woods Town Centre","331 66 St. NW","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"b43d2af7-9d84-4bbc-9240-3a12f1bfb0f0","Dufferin Mall","900 Dufferin St.","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"d8d8af60-67f8-4b17-b0a8-e45d07259339","Little Anthony's Diner","7010 East Broadway Blvd.","Tucson","United States",,,"CRITICAL","MISSING_COORDINATES"
"da9f6c40-5fb3-4b00-a56d-e78cb5284947","Enchanted Island","1202 W. Encanto Blvd.","Phoenix","United States",,,"CRITICAL","MISSING_COORDINATES"
"e0387fdd-a71b-415b-b212-bc1b0e4bb33e","The Centre","3510 8th Street East","Saskatoon","United States",,,"CRITICAL","MISSING_COORDINATES"
"aa64f1d6-869e-4ae9-93dc-9151fa50f5c0","Berri-Uqam Metro","1470, rue St-Denis","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"57335a86-277f-4b25-89a5-a82183f58d91","Eaton Centre","705 Rue Sainte Catherine Ouest","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"c7487893-b9d2-47fe-837d-b61222a3aef9","Station Centrale","505 Blvd. de Maisonneuve Est","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"fb97b913-d706-4a0e-a574-7fa5b837c6a0","Laurier Metro","5113 Rue Rivard","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"afcb14bb-773b-43b9-8589-174e4e2e19ad","McGill Metro","2055 Rue University","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"990fd864-4a88-423f-bd7f-eb021d0f8844","Peel Metro","1115 Boul. de Maisonneuve Ouest","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"1d0ef364-1c19-4a8b-b3e1-d571b0358cf5","St. Laurent Centre","1200 St Laurent Blvd","Ottawa","United States",,,"CRITICAL","MISSING_COORDINATES"
"58f22a74-b007-4a95-8abb-7b8a465efa24","Place-des-Artes Metro","1555 Rue Jeanne-Mance","Montreal","United States",,,"CRITICAL","MISSING_COORDINATES"
"2094fb99-cdbb-46fa-84cf-5d9f43a4c85a","Bayshore Shopping Centre","100 Bayshore Drive","Ottawa","United States",,,"CRITICAL","MISSING_COORDINATES"
"77c392bb-969f-420f-861e-7860bac3da2b","Billings Bridge Centre","2277 Riverside Drive East","Ottawa","United States",,,"CRITICAL","MISSING_COORDINATES"
"85cc38d0-7380-4ac2-badf-0e1e7b986105","Ottawa Bus Central Station","265 Catherine Street","Ottawa","United States",,,"CRITICAL","MISSING_COORDINATES"
"7eb3e5fb-2898-49ad-ac0d-c576a3a8b696","Galleria Shopping Centre","1245 Dupont Street","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"b5ca6c13-a7f6-4742-bdde-0bbfb2a2448d","West Edmonton Mall II","1755 170 Street NW","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"4401e431-a825-404a-ba2f-af71deac6340","West Edmonton Mall III","1755 170 Street NW","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"00cae525-629f-4ffb-8748-b2356b729c91","West Edmonton Mall IV","1755 170 Street NW","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"dd5686b1-88c6-4652-80b0-c2993719d2e0","Greyhound Bus Station","10324 103 Street","Edmonton","United States",,,"CRITICAL","MISSING_COORDINATES"
"580d3e35-f3e4-4c6c-adc7-8395918a1436","Southpaw","125 5th Ave","Brooklyn","United States",,,"CRITICAL","MISSING_COORDINATES"
"00431cbe-9c32-41de-8556-cc2c036667e6","Circus Circus #1","2880 Las Vegas Boulevard South","Las Vegas","United States",,,"CRITICAL","MISSING_COORDINATES"
"b807284a-7fcd-4404-beab-77e99cdffc5c","Circus Circus #2","2880 Las Vegas Boulevard South","Las Vegas","United States",,,"CRITICAL","MISSING_COORDINATES"
"848616c8-996b-42a8-a8fe-67dc0250d105","Circus Circus #4","2880 Las Vegas Boulevard South","Las Vegas","United States",,,"CRITICAL","MISSING_COORDINATES"
"b4f294f6-bd79-4846-b69a-be5311b9ca7c","Mayfair Shopping Centre","221-3147 Douglas Street","Victoria","United States",,,"CRITICAL","MISSING_COORDINATES"
"836d49b1-0a80-472a-bf91-563b349d9aeb","Bathurst Station","565 Bloor Street West","Toronto","United States",,,"CRITICAL","MISSING_COORDINATES"
"bf6f577c-7f8f-4944-9270-52364cbb9921","Myer Centre Adelaide II","22 Rundle Mall","Adelaide","United States",,,"CRITICAL","MISSING_COORDINATES"
"1631c062-25bf-4cc5-90b7-ec71c41b479e","Champlain Place","477 Paul Street","Dieppe","United States",,,"CRITICAL","MISSING_COORDINATES"
"afbdaf0a-ac31-48b9-bbfc-3713df955224","Scotia Square","5201 Duke St.","Halifax","United States",,,"CRITICAL","MISSING_COORDINATES"
"1ebd3e36-7201-4d74-9353-dbc08f6cbfba","Park Lane Mall","5657 Spring Garden Road","Halifax","United States",,,"CRITICAL","MISSING_COORDINATES"
